%time,field.x,field.y,field.z
16502000000,0.261827205379,0.138212812204,0.0
16802000000,0.233957167621,0.108695875759,0.0
17002000000,0.228919080201,0.102133399549,0.0
17302000000,0.245448068197,0.116942644532,0.0
17505000000,0.213602893426,0.0838817883269,0.0
17802000000,0.209324731494,0.0784824481255,0.0
18002000000,0.245588787808,0.113152810349,0.0
18302000000,0.177400139811,0.0443482079528,0.0
18502000000,0.130535341405,-0.00248257110232,0.0
18802000000,0.133981339871,0.000950582563149,0.0
19003000000,0.108106752127,-0.0245960604258,0.0
19303000000,0.0787160041537,-0.0532856789623,0.0
19502000000,0.0983578811673,-0.0332124729367,0.0
19802000000,0.0743598411763,-0.0564863313949,0.0
20003000000,0.106357218206,-0.0244889543656,0.0
20458000000,0.154397073672,0.0235509011006,0.0
21004000000,0.393570983375,0.262724810804,0.0
21602000000,1.10662093317,0.975774760602,0.0
22179000000,2.10532115952,1.97447498695,0.0
22753000000,2.93261464899,2.80176847642,0.0
23327000000,3.44639024099,3.31554406841,0.0
23899000000,3.61107944275,3.48023327018,0.0
24600000000,3.65334873444,3.52250256187,0.0
25187000000,3.54024614192,3.40939996935,0.0
25436000000,3.53458088231,3.40373470974,0.0
25760000000,3.48708125177,3.3562350792,0.0
26035000000,3.51655448723,3.38570831466,0.0
26035000000,3.47629286174,3.34544668917,0.0
26035000000,3.5344206944,3.40357452183,0.0
26035000000,3.52615958148,3.39531340891,0.0
26035000000,3.526816681,3.39597050843,0.0
26036000000,3.57968834191,3.44884216934,0.0
26036000000,3.65491962374,3.52407345116,0.0
26335000000,3.68787300729,3.55702683472,0.0
26535000000,3.69061718253,3.55977100996,0.0
26835000000,3.59820514335,3.46735897078,0.0
27035000000,3.56567581112,3.43482963855,0.0
27335000000,3.57801391257,3.44716774,0.0
27535000000,3.55750384605,3.42665767348,0.0
27835000000,3.6253378695,3.49449169693,0.0
28035000000,3.70807547169,3.57722929912,0.0
28335000000,3.80101682902,3.67017065645,0.0
28535000000,3.91623283573,3.78538666316,0.0
28835000000,3.99508235726,3.86423618468,0.0
29035000000,3.91412042896,3.78327425639,0.0
29335000000,3.75529141505,3.62444524248,0.0
29535000000,3.54031286176,3.40946668919,0.0
29835000000,3.43609245528,3.30524628271,0.0
30035000000,3.41326882904,3.28242265647,0.0
30335000000,3.44958595553,3.31873978296,0.0
30536000000,3.50045661011,3.36961043754,0.0
30835000000,3.61154192956,3.48069575698,0.0
31035000000,3.69253191166,3.56168573908,0.0
31336000000,3.70618696208,3.5753407895,0.0
31535000000,3.73096697625,3.60012080368,0.0
31835000000,3.7105693974,3.57972322483,0.0
32036000000,3.77805114402,3.64720497145,0.0
32335000000,3.82498682908,3.69414065651,0.0
32535000000,3.84469127806,3.71384510549,0.0
32835000000,3.8454116849,3.71456551233,0.0
33035000000,3.79494263366,3.66409646109,0.0
33335000000,3.77995143155,3.64910525898,0.0
33535000000,3.75375624313,3.62291007056,0.0
33835000000,3.76821913354,3.63737296097,0.0
34035000000,3.7310950984,3.60024892583,0.0
34335000000,3.73642416262,3.60557799005,0.0
34536000000,3.77673536127,3.6458891887,0.0
34835000000,3.74911099219,3.61826481962,0.0
35035000000,3.78088514476,3.65003897219,0.0
35335000000,3.74129801341,3.61045184084,0.0
35535000000,3.83581105044,3.70496487787,0.0
35835000000,3.93183870498,3.80099253241,0.0
36035000000,4.00401009696,3.87316392439,0.0
36335000000,4.07568832354,3.94484215097,0.0
36535000000,4.176160569,4.04531439643,0.0
36835000000,4.29564612207,4.1647999495,0.0
37036000000,4.37596648077,4.2451203082,0.0
37335000000,4.36258061931,4.23173444674,0.0
37535000000,4.29850397668,4.1676578041,0.0
37835000000,4.23267532077,4.10182914819,0.0
38036000000,4.19877637362,4.06793020105,0.0
38335000000,4.10313479928,3.97228862671,0.0
38535000000,4.0359999241,3.90515375153,0.0
38836000000,4.04941509435,3.91856892178,0.0
39035000000,4.11095796323,3.98011179066,0.0
39335000000,4.10829711277,3.9774509402,0.0
39535000000,4.14687644031,4.01603026774,0.0
39835000000,4.26052537178,4.12967919921,0.0
40035000000,4.30777007868,4.17692390611,0.0
40335000000,4.25304675316,4.12220058058,0.0
40535000000,4.24376899465,4.11292282208,0.0
40836000000,4.20130807652,4.07046190395,0.0
41035000000,4.088839358,3.95799318543,0.0
41335000000,4.06914809539,3.93830192282,0.0
